frame.time_epoch;ip.proto;ip.src;ip.dst;tcp.srcport;tcp.dstport;tcp.flags
1603192195.657028000;6;1.1.2.3;5.6.7.8;50058;80;0x00000010
1603192196.656899000;6;1.1.2.3;5.6.7.8;50060;80;0x00000002
1603192196.657241000;6;5.6.7.8;1.1.2.3;80;50060;0x00000012
1603192196.657289000;6;1.1.2.3;5.6.7.8;50060;80;0x00000010
1603192196.657384000;6;1.1.2.3;5.6.7.8;50060;80;0x00000018
1603192196.657634000;6;5.6.7.8;1.1.2.3;80;50060;0x00000010
1603192196.657934000;6;5.6.7.8;1.1.2.3;80;50060;0x00000010
1603192196.657944000;6;1.1.2.3;5.6.7.8;50060;80;0x00000010
1603192196.657995000;6;5.6.7.8;1.1.2.3;80;50060;0x00000010
1603192196.658008000;6;1.1.2.3;5.6.7.8;50060;80;0x00000010
1603192196.658038000;6;5.6.7.8;1.1.2.3;80;50060;0x00000018
1603192196.658050000;6;1.1.2.3;5.6.7.8;50060;80;0x00000010
1603192196.659157000;6;1.1.2.3;5.6.7.8;50060;80;0x00000011
1603192196.659587000;6;5.6.7.8;1.1.2.3;80;50060;0x00000011
1603192196.659611000;6;1.1.2.3;5.6.7.8;50060;80;0x00000010
1603192197.659382000;6;1.1.2.3;5.6.7.8;50062;80;0x00000002
1603192197.659630000;6;5.6.7.8;1.1.2.3;80;50062;0x00000012
1603192197.659680000;6;1.1.2.3;5.6.7.8;50062;80;0x00000010
1603192197.659770000;6;1.1.2.3;5.6.7.8;50062;80;0x00000018
1603192197.659975000;6;5.6.7.8;1.1.2.3;80;50062;0x00000010
1603192197.660381000;6;5.6.7.8;1.1.2.3;80;50062;0x00000010
1603192197.660399000;6;1.1.2.3;5.6.7.8;50062;80;0x00000010
1603192197.660432000;6;5.6.7.8;1.1.2.3;80;50062;0x00000010
1603192197.660447000;6;1.1.2.3;5.6.7.8;50062;80;0x00000010
1603192197.660476000;6;5.6.7.8;1.1.2.3;80;50062;0x00000018
1603192197.660484000;6;1.1.2.3;5.6.7.8;50062;80;0x00000010
1603192197.661398000;6;1.1.2.3;5.6.7.8;50062;80;0x00000011
1603192197.662029000;6;5.6.7.8;1.1.2.3;80;50062;0x00000011
1603192197.662059000;6;1.1.2.3;5.6.7.8;50062;80;0x00000010
1603192198.662794000;6;1.1.2.3;5.6.7.8;50064;80;0x00000002
1603192198.663122000;6;5.6.7.8;1.1.2.3;80;50064;0x00000012
1603192198.663171000;6;1.1.2.3;5.6.7.8;50064;80;0x00000010
1603192198.663262000;6;1.1.2.3;5.6.7.8;50064;80;0x00000018
1603192198.663466000;6;5.6.7.8;1.1.2.3;80;50064;0x00000010
1603192198.663870000;6;5.6.7.8;1.1.2.3;80;50064;0x00000010
1603192198.663882000;6;1.1.2.3;5.6.7.8;50064;80;0x00000010
1603192198.663927000;6;5.6.7.8;1.1.2.3;80;50064;0x00000010
1603192198.663947000;6;1.1.2.3;5.6.7.8;50064;80;0x00000010
1603192198.663969000;6;5.6.7.8;1.1.2.3;80;50064;0x00000018
1603192198.663979000;6;1.1.2.3;5.6.7.8;50064;80;0x00000010
1603192198.665123000;6;1.1.2.3;5.6.7.8;50064;80;0x00000011
1603192198.665826000;6;5.6.7.8;1.1.2.3;80;50064;0x00000011
1603192198.665841000;6;1.1.2.3;5.6.7.8;50064;80;0x00000010
1603192199.664405000;6;1.1.2.3;5.6.7.8;50066;80;0x00000002
1603192199.664669000;6;5.6.7.8;1.1.2.3;80;50066;0x00000012
1603192199.664739000;6;1.1.2.3;5.6.7.8;50066;80;0x00000010
1603192199.664869000;6;1.1.2.3;5.6.7.8;50066;80;0x00000018
1603192199.665065000;6;5.6.7.8;1.1.2.3;80;50066;0x00000010
1603192199.665470000;6;5.6.7.8;1.1.2.3;80;50066;0x00000010
1603192199.665489000;6;1.1.2.3;5.6.7.8;50066;80;0x00000010
1603192199.665519000;6;5.6.7.8;1.1.2.3;80;50066;0x00000018
1603192199.665534000;6;1.1.2.3;5.6.7.8;50066;80;0x00000010
1603192199.666517000;6;1.1.2.3;5.6.7.8;50066;80;0x00000011
1603192199.667071000;6;5.6.7.8;1.1.2.3;80;50066;0x00000011
1603192199.667101000;6;1.1.2.3;5.6.7.8;50066;80;0x00000010
1603192200.666976000;6;1.1.2.3;5.6.7.8;50068;80;0x00000002
1603192200.667267000;6;5.6.7.8;1.1.2.3;80;50068;0x00000012
1603192200.667314000;6;1.1.2.3;5.6.7.8;50068;80;0x00000010
1603192200.667404000;6;1.1.2.3;5.6.7.8;50068;80;0x00000018
1603192200.667611000;6;5.6.7.8;1.1.2.3;80;50068;0x00000010
1603192200.667966000;6;5.6.7.8;1.1.2.3;80;50068;0x00000010
1603192200.667985000;6;1.1.2.3;5.6.7.8;50068;80;0x00000010
1603192200.668018000;6;5.6.7.8;1.1.2.3;80;50068;0x00000018
1603192200.668034000;6;1.1.2.3;5.6.7.8;50068;80;0x00000010
1603192200.668979000;6;1.1.2.3;5.6.7.8;50068;80;0x00000011
1603192200.669514000;6;5.6.7.8;1.1.2.3;80;50068;0x00000011
1603192200.669540000;6;1.1.2.3;5.6.7.8;50068;80;0x00000010
1603192201.669492000;6;1.1.2.3;5.6.7.8;50070;80;0x00000002
1603192201.669717000;6;5.6.7.8;1.1.2.3;80;50070;0x00000012
1603192201.669758000;6;1.1.2.3;5.6.7.8;50070;80;0x00000010
1603192201.669834000;6;1.1.2.3;5.6.7.8;50070;80;0x00000018
1603192201.670014000;6;5.6.7.8;1.1.2.3;80;50070;0x00000010
1603192201.670369000;6;5.6.7.8;1.1.2.3;80;50070;0x00000010
1603192201.670390000;6;1.1.2.3;5.6.7.8;50070;80;0x00000010
1603192201.670418000;6;5.6.7.8;1.1.2.3;80;50070;0x00000018
1603192201.670433000;6;1.1.2.3;5.6.7.8;50070;80;0x00000010
1603192201.671477000;6;1.1.2.3;5.6.7.8;50070;80;0x00000011
1603192201.671966000;6;5.6.7.8;1.1.2.3;80;50070;0x00000011
1603192201.671992000;6;1.1.2.3;5.6.7.8;50070;80;0x00000010
1603192202.671968000;6;1.1.2.3;5.6.7.8;50072;80;0x00000002
1603192202.672271000;6;5.6.7.8;1.1.2.3;80;50072;0x00000012
1603192202.672321000;6;1.1.2.3;5.6.7.8;50072;80;0x00000010
1603192202.672411000;6;1.1.2.3;5.6.7.8;50072;80;0x00000018
1603192202.672616000;6;5.6.7.8;1.1.2.3;80;50072;0x00000010
1603192202.672972000;6;5.6.7.8;1.1.2.3;80;50072;0x00000010
1603192202.672992000;6;1.1.2.3;5.6.7.8;50072;80;0x00000010
1603192202.673021000;6;5.6.7.8;1.1.2.3;80;50072;0x00000018
1603192202.673035000;6;1.1.2.3;5.6.7.8;50072;80;0x00000010
1603192202.674033000;6;1.1.2.3;5.6.7.8;50072;80;0x00000011
1603192202.674646000;6;5.6.7.8;1.1.2.3;80;50072;0x00000011
1603192202.674683000;6;1.1.2.3;5.6.7.8;50072;80;0x00000010
1603192203.674334000;6;1.1.2.3;5.6.7.8;50074;80;0x00000002
1603192203.674636000;6;5.6.7.8;1.1.2.3;80;50074;0x00000012
1603192203.674687000;6;1.1.2.3;5.6.7.8;50074;80;0x00000010
1603192203.674780000;6;1.1.2.3;5.6.7.8;50074;80;0x00000018
1603192203.674972000;6;5.6.7.8;1.1.2.3;80;50074;0x00000010
1603192203.675378000;6;5.6.7.8;1.1.2.3;80;50074;0x00000010
1603192203.675399000;6;1.1.2.3;5.6.7.8;50074;80;0x00000010
1603192203.675427000;6;5.6.7.8;1.1.2.3;80;50074;0x00000018
1603192203.675441000;6;1.1.2.3;5.6.7.8;50074;80;0x00000010
1603192203.676436000;6;1.1.2.3;5.6.7.8;50074;80;0x00000011
1603192203.676975000;6;5.6.7.8;1.1.2.3;80;50074;0x00000011
1603192203.677000000;6;1.1.2.3;5.6.7.8;50074;80;0x00000010
1603192204.676960000;6;1.1.2.3;5.6.7.8;50076;80;0x00000002
1603192204.677185000;6;5.6.7.8;1.1.2.3;80;50076;0x00000012
1603192204.677232000;6;1.1.2.3;5.6.7.8;50076;80;0x00000010
1603192204.677326000;6;1.1.2.3;5.6.7.8;50076;80;0x00000018
1603192204.677580000;6;5.6.7.8;1.1.2.3;80;50076;0x00000010
1603192204.677937000;6;5.6.7.8;1.1.2.3;80;50076;0x00000010
1603192204.677957000;6;1.1.2.3;5.6.7.8;50076;80;0x00000010
1603192204.677985000;6;5.6.7.8;1.1.2.3;80;50076;0x00000018
1603192204.677999000;6;1.1.2.3;5.6.7.8;50076;80;0x00000010
1603192204.679032000;6;1.1.2.3;5.6.7.8;50076;80;0x00000011
1603192204.679585000;6;5.6.7.8;1.1.2.3;80;50076;0x00000011
1603192204.679613000;6;1.1.2.3;5.6.7.8;50076;80;0x00000010
